City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,muli,2.9167,73.5667,86.2,68,100,16.64,MV,1651374818
170,salalah,17.0151,54.0924,84.29,84,20,0.0,OM,1651374769
171,thompson,55.7435,-97.8558,31.55,94,100,9.78,CA,1651374819
172,shingu,33.7333,135.9833,59.47,94,100,2.35,JP,1651374819
173,port lincoln,-34.7333,135.8667,65.7,69,80,12.1,AU,1651374820
174,zvishavane,-20.3267,30.0665,56.46,79,3,7.23,ZW,1651374821
175,lorengau,-2.0226,147.2712,83.61,77,100,4.76,PG,1651374821
176,yarada,17.65,83.2667,88.12,74,20,10.36,IN,1651374822
177,alta floresta,-9.8756,-56.0861,72.27,83,39,3.04,BR,1651374823
178,danville,36.586,-79.395,53.98,95,100,3.44,US,1651374823
179,hue,16.4667,107.6,80.71,89,75,2.3,VN,1651374615
180,calvia,39.5657,2.5062,58.08,75,100,2.59,ES,1651374824
181,airai,-8.9266,125.4092,76.28,50,50,4.99,TL,1651374825
182,emerald,-23.5333,148.1667,81.34,48,24,10.94,AU,1651374750
183,malanje,-9.5402,16.341,60.12,93,95,3.33,AO,1651374826
184,salina,38.8403,-97.6114,56.95,49,0,5.75,US,1651374755
185,bengkulu,-3.8004,102.2655,75.56,94,100,8.25,ID,1651374826
186,barranca,-10.75,-77.7667,65.16,87,67,6.44,PE,1651374827
187,muisne,0.6,-80.0333,76.86,84,98,5.64,EC,1651374828
188,mangaluru,12.8667,74.8833,81.46,78,75,0.0,IN,1651374828
189,tamiahua,21.2667,-97.45,77.81,94,42,6.55,MX,1651374829
190,provideniya,64.3833,-173.3,33.13,84,99,13.89,RU,1651374830
191,chapada dos guimaraes,-15.4606,-55.7497,69.46,55,1,5.14,BR,1651374831
192,kharan,28.5833,65.4167,88.77,14,34,2.91,PK,1651374832
193,college,64.8569,-147.8028,54.99,30,40,11.5,US,1651374689
194,gayeri,12.6497,0.4931,89.47,27,66,6.33,BF,1651374832
195,acapulco,16.8634,-99.8901,80.42,74,40,5.75,MX,1651374786
196,flin flon,54.7682,-101.865,37.02,98,100,8.01,CA,1651374833
197,ballina,-28.8667,153.5667,68.18,99,98,12.97,AU,1651374834
198,san cristobal,7.7669,-72.225,73.58,97,100,3.11,VE,1651374835
199,zuya,45.0531,34.3154,46.53,94,23,5.39,UA,1651374835
200,kenai,60.5544,-151.2583,46.02,62,100,18.41,US,1651374836
201,pekan,3.4836,103.3996,87.4,66,59,3.42,MY,1651374837
202,windsor,42.3001,-83.0165,54.21,57,75,14.97,CA,1651374837
203,kudahuvadhoo,2.6708,72.8944,85.91,68,100,15.37,MV,1651374838
204,sao jose da coroa grande,-8.8978,-35.1478,76.91,80,89,8.93,BR,1651374839
205,lodja,-3.4833,23.4333,68.59,96,67,0.98,CD,1651374839
206,lahij,13.1667,44.5833,77.25,68,42,1.36,YE,1651374840
207,usinsk,65.9939,57.5281,21.85,92,64,8.57,RU,1651374841
208,markova,48.6758,24.4138,40.78,85,61,3.2,UA,1651374842
209,borzna,51.2546,32.4269,38.59,84,15,4.29,UA,1651374842
210,boguchany,58.3814,97.4531,43.93,95,100,6.15,RU,1651374843
211,saskylakh,71.9167,114.0833,12.43,88,100,16.58,RU,1651374844
212,nikolskoye,59.7035,30.7861,39.09,76,100,5.64,RU,1651374844
213,marawi,7.9986,124.2928,81.99,62,46,4.14,PH,1651374845
214,valdivia,-39.8142,-73.2459,33.89,96,53,1.57,CL,1651374572
215,la rioja,42.25,-2.5,40.78,78,99,4.59,ES,1651374684
216,irtyshskiy,58.3333,68.1333,39.99,48,1,8.05,RU,1651374846
217,poum,-20.2333,164.0167,76.91,75,9,5.26,NC,1651374846
218,roura,4.7263,-52.3274,80.96,94,20,0.0,GF,1651374847
219,kysyl-syr,63.8986,122.7617,36.19,99,100,5.23,RU,1651374847
220,kismayo,-0.3582,42.5454,81.9,76,100,11.54,SO,1651374848
221,vardo,70.3705,31.1107,29.3,72,96,20.4,NO,1651374848
222,skibbereen,51.55,-9.2667,52.11,94,100,8.19,IE,1651374849
223,cockburn town,21.4612,-71.1419,77.02,70,66,22.24,TC,1651374709
224,raton,36.9034,-104.4391,55.74,24,0,4.61,US,1651374850
225,kumano,34.3442,132.5894,59.92,60,100,4.68,JP,1651374850
226,portobelo,9.55,-79.65,79.72,86,100,2.08,PA,1651374851
227,castro,-24.7911,-50.0119,57.29,98,84,3.29,BR,1651374851
228,faya,18.3851,42.4509,57.72,51,84,3.04,SA,1651374852
229,boueni,-12.9025,45.0761,80.58,82,100,7.27,YT,1651374852
230,alofi,-19.0595,-169.9187,81.3,78,97,14.83,NU,1651374853
231,akyab,20.15,92.9,85.44,66,14,1.86,MM,1651374853
232,ponta do sol,32.6667,-17.1,65.03,65,0,3.94,PT,1651374854
233,palmer,42.1584,-72.3287,47.43,62,0,0.0,US,1651374750
234,ust-kuyga,70.0167,135.6,32.79,80,8,16.6,RU,1651374854
235,khandyga,62.6667,135.6,40.33,65,68,4.0,RU,1651374855
